date,Relative Interest
2010-01,6
2010-02,9
2010-03,15
2010-04,12
2010-05,17
2010-06,17
2010-07,12
2010-08,14
2010-09,14
2010-10,18
2010-11,13
2010-12,12
2011-01,11
2011-02,14
2011-03,22
2011-04,22
2011-05,43
2011-06,22
2011-07,21
2011-08,22
2011-09,27
2011-10,20
2011-11,18
2011-12,25
2012-01,24
2012-02,25
2012-03,34
2012-04,31
2012-05,48
2012-06,35
2012-07,37
2012-08,38
2012-09,32
2012-10,28
2012-11,31
2012-12,34
2013-01,32
2013-02,43
2013-03,49
2013-04,52
2013-05,67
2013-06,51
2013-07,50
2013-08,49
2013-09,55
2013-10,51
2013-11,51
2013-12,56
2014-01,52
2014-02,57
2014-03,61
2014-04,74
2014-05,89
2014-06,64
2014-07,68
2014-08,70
2014-09,71
2014-10,69
2014-11,61
2014-12,67
2015-01,55
2015-02,78
2015-03,76
2015-04,90
2015-05,100
2015-06,77
2015-07,79
2015-08,84
2015-09,75
2015-10,66
2015-11,66
2015-12,70
