date,Relative Interest
2010-01,41
2010-02,42
2010-03,44
2010-04,41
2010-05,39
2010-06,36
2010-07,39
2010-08,39
2010-09,39
2010-10,40
2010-11,43
2010-12,55
2011-01,52
2011-02,51
2011-03,52
2011-04,48
2011-05,47
2011-06,49
2011-07,49
2011-08,46
2011-09,49
2011-10,52
2011-11,60
2011-12,73
2012-01,60
2012-02,55
2012-03,60
2012-04,52
2012-05,58
2012-06,59
2012-07,56
2012-08,53
2012-09,55
2012-10,55
2012-11,65
2012-12,84
2013-01,69
2013-02,65
2013-03,67
2013-04,59
2013-05,58
2013-06,61
2013-07,61
2013-08,63
2013-09,57
2013-10,66
2013-11,73
2013-12,90
2014-01,71
2014-02,66
2014-03,73
2014-04,66
2014-05,66
2014-06,65
2014-07,67
2014-08,66
2014-09,65
2014-10,72
2014-11,84
2014-12,98
2015-01,74
2015-02,69
2015-03,73
2015-04,65
2015-05,66
2015-06,67
2015-07,67
2015-08,69
2015-09,63
2015-10,65
2015-11,87
2015-12,100
