date,RelativeInterest
2010-01,54
2010-02,54
2010-03,58
2010-04,52
2010-05,61
2010-06,59
2010-07,67
2010-08,64
2010-09,56
2010-10,50
2010-11,65
2010-12,74
2011-01,73
2011-02,72
2011-03,66
2011-04,63
2011-05,67
2011-06,72
2011-07,79
2011-08,72
2011-09,66
2011-10,67
2011-11,72
2011-12,83
2012-01,77
2012-02,78
2012-03,71
2012-04,69
2012-05,74
2012-06,84
2012-07,83
2012-08,73
2012-09,77
2012-10,65
2012-11,78
2012-12,86
2013-01,77
2013-02,77
2013-03,72
2013-04,69
2013-05,73
2013-06,79
2013-07,80
2013-08,79
2013-09,71
2013-10,67
2013-11,83
2013-12,91
2014-01,82
2014-02,77
2014-03,68
2014-04,70
2014-05,74
2014-06,79
2014-07,83
2014-08,73
2014-09,68
2014-10,63
2014-11,77
2014-12,84
2015-01,81
2015-02,74
2015-03,72
2015-04,68
2015-05,76
2015-06,76
2015-07,84
2015-08,81
2015-09,72
2015-10,70
2015-11,83
2015-12,100
